"","na_prct"
"Sex",0
"Smoke_status.0.0",0.002
"Ethnicity.0.0",0.002
"BMI.0.0",0.006
"Age_recr.0.0",0
"Age_recr_continuous.0.0",0
"Wbc_count.0.0",0.048
"Rbc_count.0.0",0.048
"Haemoglobin_conc.0.0",0.048
"Haematocrit_prct.0.0",0.048
"Mean_corpuscular_vol.0.0",0.048
"Mean_hgb.0.0",0.048
"Mean_hgb_conc.0.0",0.048
"Rbc_width.0.0",0.048
"Plt_count.0.0",0.048
"Plt_crit.0.0",0.048
"Mean_plt_vol.0.0",0.048
"Plt_width.0.0",0.048
"Lymphocyte_count.0.0",0.05
"Monocyte_count.0.0",0.05
"Neutrophill_count.0.0",0.05
"Eosinophill_count.0.0",0.05
"Basophill_count.0.0",0.05
"Nucleated_rbc_count.0.0",0.05
"Lymphocyte_prct.0.0",0.05
"Monocyte_prct.0.0",0.05
"Neutrophill_prct.0.0",0.05
"Eosinophill_prct.0.0",0.05
"Basophill_prct.0.0",0.05
"Nucleated_rbc_prct.0.0",0.05
"Reticulocyte_prct.0.0",0.065
"Reticulocyte_count.0.0",0.065
"Mean_reticulocyte_vol.0.0",0.065
"Mean_spcell_vol.0.0",0.065
"Ir_fraction.0.0",0.065
"Hlsr_prct.0.0",0.065
"Hlsr_count.0.0",0.065
"case_sum",0
