"","coef","exp(coef)","se(coef)","z","Pr(>|z|)","2.5 %","97.5 %"
"SexMale",0.13,1.14,0.03,3.98,0,1.07,1.22
"Smoke_status.0.0Current",0.27,1.31,0.05,5.8,0,1.19,1.43
"Smoke_status.0.0Previous",0.17,1.18,0.03,5.63,0,1.12,1.26
"Ethnicity.0.0Prefer not to answer",0.46,1.58,0.21,2.13,0.03,1.04,2.4
"Ethnicity.0.0Do not know",-0.07,0.93,0.5,-0.14,0.89,0.35,2.48
"Ethnicity.0.0White",-0.23,0.8,0.38,-0.6,0.55,0.38,1.68
"Ethnicity.0.0Mixed",NA,NA,0,NA,NA,NA,NA
"Ethnicity.0.0Asian or Asian British",0.23,1.26,1,0.23,0.82,0.18,8.98
"Ethnicity.0.0Black or Black British",-0.35,0.71,0.58,-0.6,0.55,0.23,2.2
"Ethnicity.0.0Chinese",0.47,1.59,0.41,1.14,0.26,0.71,3.56
"Ethnicity.0.0Other ethnic group",0.44,1.55,0.16,2.75,0.01,1.13,2.12
"Ethnicity.0.0Irish",0.1,1.11,0.09,1.15,0.25,0.93,1.31
"Ethnicity.0.0Any other white background",0.1,1.1,0.08,1.18,0.24,0.94,1.29
"Ethnicity.0.0White and Black Caribbean",0.2,1.22,0.5,0.4,0.69,0.46,3.26
"Ethnicity.0.0White and Black African",0.47,1.6,0.71,0.66,0.51,0.4,6.4
"Ethnicity.0.0White and Asian",-0.11,0.9,0.5,-0.21,0.83,0.34,2.4
"Ethnicity.0.0Any other mixed background",0.25,1.29,0.35,0.71,0.48,0.64,2.58
"Ethnicity.0.0Indian",0.07,1.08,0.14,0.52,0.61,0.81,1.42
"Ethnicity.0.0Pakistani",0.08,1.09,0.25,0.34,0.74,0.67,1.77
"Ethnicity.0.0Bangladeshi",0.02,1.02,1,0.02,0.98,0.14,7.3
"Ethnicity.0.0Any other Asian background",0.35,1.42,0.29,1.2,0.23,0.8,2.51
"Ethnicity.0.0Caribbean",-0.03,0.97,0.13,-0.23,0.82,0.75,1.25
"Ethnicity.0.0African",0.11,1.12,0.19,0.59,0.56,0.77,1.62
"Ethnicity.0.0Any other Black background",NA,NA,0,NA,NA,NA,NA
"BMI.0.0",0.03,1.03,0,8.79,0,1.02,1.03
"Age_recr_continuous.0.0",0,1,0,-2.14,0.03,0.99,1
"Alcohol_freq.0.0daily",-0.4,0.67,0.06,-7.05,0,0.6,0.75
"Alcohol_freq.0.0monthly",-0.26,0.77,0.06,-4.04,0,0.68,0.88
"Alcohol_freq.0.0rarely",-0.04,0.96,0.06,-0.71,0.48,0.85,1.08
"Alcohol_freq.0.0weekly1_2",-0.3,0.74,0.05,-5.42,0,0.67,0.83
"Alcohol_freq.0.0weekly3_4",-0.44,0.65,0.06,-7.65,0,0.58,0.72
"highest_Education0A_level",0.01,1.01,0.09,0.09,0.93,0.85,1.19
"highest_Education0College",0,1,0.05,0.01,0.99,0.91,1.1
"highest_Education0CSE",0.11,1.11,0.07,1.53,0.13,0.97,1.28
"highest_Education0GCSE",0.02,1.02,0.04,0.46,0.64,0.94,1.11
"highest_Education0NVQ",0.17,1.18,0.05,3.64,0,1.08,1.29
"highest_Education0Others",0.17,1.19,0.04,4.39,0,1.1,1.29
"Wbc_count.0.0",0.03,1.03,0,18.06,0,1.03,1.03
"Rbc_count.0.0",-0.39,0.68,0.04,-10.88,0,0.63,0.73
"Rbc_width.0.0",0.13,1.14,0.01,15.73,0,1.13,1.16
"Plt_count.0.0",0,1,0,3.95,0,1,1
"Mean_plt_vol.0.0",-0.06,0.94,0.01,-4.08,0,0.92,0.97
"Plt_width.0.0",0.26,1.3,0.03,10.13,0,1.24,1.37
"Reticulocyte_count.0.0",1.36,3.89,0.31,4.43,0,2.13,7.09
"Mean_reticulocyte_vol.0.0",0.01,1.01,0,4.17,0,1,1.01
"Ir_fraction.0.0",0.72,2.05,0.24,2.99,0,1.28,3.28
"Basophill_count.0.0",0.42,1.52,0.15,2.8,0.01,1.13,2.05
